station,valid,metar
LAF,2021-10-07 01:34,KLAF 070134Z AUTO 07006KT 6SM BR FEW008 OVC110 20/19 A3015 RMK AO2 RAE0059 P0000 T02000194
LAF,2021-10-07 01:35,KLAF 070135Z AUTO 07005KT 6SM BR FEW008 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:40,KLAF 070140Z AUTO 08005KT 6SM BR SCT008 OVC110 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:50,KLAF 070150Z AUTO 07005KT 6SM BR BKN008 OVC120 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 01:54,KLAF 070154Z AUTO 07006KT 6SM BR BKN008 OVC120 20/19 A3015 RMK AO2 RAE0059 SLP205 P0000 T02000194
LAF,2021-10-07 01:55,KLAF 070155Z AUTO 07005KT 6SM BR SCT008 OVC120 20/19 A3014 RMK T02000190 MADISHF
LAF,2021-10-07 02:00,KLAF 070200Z AUTO 06005KT 6SM BR SCT008 OVC110 20/19 A3013 RMK T02000190 MADISHF
LAF,2021-10-07 02:01,KLAF 070201Z AUTO 06005KT 6SM BR SCT008 OVC120 20/19 A3014 RMK AO2 T02000194
LAF,2021-10-07 02:05,KLAF 070205Z AUTO 06004KT 6SM BR SCT008 BKN110 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:10,KLAF 070210Z AUTO 06005KT 6SM BR FEW008 BKN120 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:15,KLAF 070215Z AUTO 07005KT 6SM BR FEW008 SCT110 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:20,KLAF 070220Z AUTO 07005KT 6SM BR FEW110 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:25,KLAF 070225Z AUTO 07005KT 6SM BR FEW110 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:30,KLAF 070230Z AUTO 07005KT 6SM BR FEW008 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:35,KLAF 070235Z AUTO 07005KT 5SM BR FEW008 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:40,KLAF 070240Z AUTO 06005KT 5SM BR FEW007 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:45,KLAF 070245Z AUTO 07005KT 5SM BR FEW007 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 02:50,KLAF 070250Z AUTO 07005KT 5SM BR FEW007 19/19 A3014 RMK T01900190 MADISHF
LAF,2021-10-07 02:54,KLAF 070254Z AUTO 07006KT 5SM BR FEW007 19/19 A3015 RMK AO2 LTG DSNT SE SLP205 60001 T01940189 58001
LAF,2021-10-07 02:55,KLAF 070255Z AUTO 07005KT 5SM BR FEW007 19/19 A3013 RMK T01900190  LTG DSNT SE! MADISHF
LAF,2021-10-07 03:00,KLAF 070300Z AUTO 06005KT 5SM BR FEW007 19/19 A3013 RMK T01900190  LTG DSNT SE! MADISHF
LAF,2021-10-07 03:05,KLAF 070305Z AUTO 06005KT 5SM BR FEW007 19/19 A3013 RMK T01900190  LTG DSNT SE! MADISHF
LAF,2021-10-07 03:10,KLAF 070310Z AUTO 06005KT 5SM BR FEW007 FEW065 19/19 A3014 RMK T01900190  LTG DSNT SE! MADISHF
LAF,2021-10-07 03:15,KLAF 070315Z AUTO 07005KT 5SM BR FEW065 FEW110 19/19 A3014 RMK T01900190  LTG DSNT SE! MADISHF
LAF,2021-10-07 03:20,KLAF 070320Z AUTO 06005KT 5SM BR SCT060 SCT110 19/19 A3014 RMK T01900190  LTG DSNT SE! MADISHF
LAF,2021-10-07 03:25,KLAF 070325Z AUTO 06005KT 5SM BR SCT060 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 03:30,KLAF 070330Z AUTO 06005KT 5SM BR SCT060 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 03:35,KLAF 070335Z AUTO 06005KT 5SM BR SCT060 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 03:40,KLAF 070340Z AUTO 06007KT 5SM BR SCT060 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 03:45,KLAF 070345Z AUTO 07005KT 5SM BR FEW055 SCT079 21/19 A3013 RMK T02100190 MADISHF
LAF,2021-10-07 03:50,KLAF 070350Z AUTO 06005KT 5SM BR FEW055 FEW079 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 03:54,KLAF 070354Z AUTO 07005KT 5SM BR FEW033 FEW055 19/19 A3014 RMK AO2 SLP203 T01940189
LAF,2021-10-07 03:55,KLAF 070355Z AUTO 07005KT 5SM BR FEW033 FEW055 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 04:00,KLAF 070400Z AUTO 07005KT 5SM BR FEW033 FEW100 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 04:05,KLAF 070405Z AUTO 08007KT 5SM BR FEW033 FEW100 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 04:10,KLAF 070410Z AUTO 09005KT 5SM BR FEW021 SCT033 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 04:15,KLAF 070415Z AUTO 08007KT 5SM BR FEW013 SCT021 SCT033 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 04:20,KLAF 070420Z AUTO 09008KT 5SM BR FEW015 FEW022 FEW033 19/19 A3013 RMK T01900190 MADISHF
LAF,2021-10-07 04:25,KLAF 070425Z AUTO 08008KT 5SM -RA BR FEW012 FEW022 SCT095 19/19 A3012 RMK T01900190 MADISHF
LAF,2021-10-07 04:30,KLAF 070430Z AUTO 09008KT 5SM -RA BR FEW022 19/19 A3012 RMK T01900190 MADISHF
LAF,2021-10-07 04:35,KLAF 070435Z AUTO 09008KT 5SM -RA BR FEW022 19/19 A3012 RMK T01900190 MADISHF
LAF,2021-10-07 04:40,KLAF 070440Z AUTO 09007KT 5SM -RA BR FEW100 19/19 A3012 RMK T01900190 MADISHF
LAF,2021-10-07 04:45,KLAF 070445Z AUTO 08008KT 5SM -RA BR FEW100 SCT120 19/19 A3012 RMK T01900190 MADISHF
LAF,2021-10-07 04:50,KLAF 070450Z AUTO 08007KT 5SM -RA BR FEW100 SCT120 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 04:54,KLAF 070454Z AUTO 09007KT 5SM -RA BR SCT110 19/19 A3013 RMK AO2 RAB22 SLP199 P0001 T01940189 402280172
LAF,2021-10-07 04:55,KLAF 070455Z AUTO 09007KT 5SM -RA BR BKN110 19/19 A3012 RMK T01900190 MADISHF
LAF,2021-10-07 05:00,KLAF 070500Z AUTO 09007KT 5SM -RA BR BKN110 19/19 A3012 RMK T01900190 MADISHF
LAF,2021-10-07 05:05,KLAF 070505Z AUTO 08005KT 5SM -RA BR BKN110 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:10,KLAF 070510Z AUTO 07005KT 5SM -RA BR BKN110 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:15,KLAF 070515Z AUTO 07005KT 5SM -RA BR OVC110 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:20,KLAF 070520Z AUTO 07005KT 5SM -RA BR BKN110 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:25,KLAF 070525Z AUTO 07005KT 5SM BR BKN110 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:30,KLAF 070530Z AUTO 07007KT 5SM BR FEW006 BKN110 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:33,KLAF 070533Z AUTO 07007KT 5SM BR FEW006 BKN110 19/19 A3012 RMK AO2 RAE24 P0001 T01940189
LAF,2021-10-07 05:35,KLAF 070535Z AUTO 07005KT 5SM BR FEW006 BKN110 19/19 A3012 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:40,KLAF 070540Z AUTO 06005KT 5SM BR FEW006 BKN110 19/19 A3011 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:45,KLAF 070545Z AUTO 07007KT 5SM BR FEW006 BKN110 19/19 A3011 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:50,KLAF 070550Z AUTO 07005KT 5SM BR FEW006 BKN110 19/19 A3011 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 05:54,KLAF 070554Z AUTO 08006KT 5SM BR FEW006 BKN110 19/19 A3011 RMK AO2 RAE24 SLP193 P0001 60003 T01940189 10206 20194 58011
LAF,2021-10-07 05:55,KLAF 070555Z AUTO 08005KT 5SM BR FEW006 BKN110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:00,KLAF 070600Z AUTO 08007KT 5SM BR FEW006 BKN110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:05,KLAF 070605Z AUTO 08007KT 5SM BR FEW006 BKN110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:10,KLAF 070610Z AUTO 07005KT 5SM BR FEW006 BKN120 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:15,KLAF 070615Z AUTO 07005KT 5SM BR BKN110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:20,KLAF 070620Z AUTO 07005KT 5SM BR FEW007 BKN110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:25,KLAF 070625Z AUTO 07007KT 6SM BR SCT007 BKN110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:30,KLAF 070630Z AUTO 08007KT 6SM BR SCT007 BKN033 OVC110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:35,KLAF 070635Z AUTO 07008KT 6SM BR SCT007 BKN033 OVC110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:40,KLAF 070640Z AUTO 06007KT 6SM BR BKN007 BKN033 OVC110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:45,KLAF 070645Z AUTO 06007KT 5SM BR BKN007 BKN033 OVC110 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:46,KLAF 070646Z AUTO 06007KT 5SM BR BKN007 BKN034 OVC110 19/19 A3011 RMK AO2 T01940189
LAF,2021-10-07 06:50,KLAF 070650Z AUTO 07007KT 5SM BR BKN007 BKN033 OVC120 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 06:54,KLAF 070654Z AUTO 06007KT 5SM BR BKN007 BKN034 OVC120 19/19 A3011 RMK AO2 SLP193 T01890189
LAF,2021-10-07 06:55,KLAF 070655Z AUTO 06007KT 5SM BR BKN007 BKN033 OVC120 19/19 A3011 RMK T01900190 MADISHF
LAF,2021-10-07 07:00,KLAF 070700Z AUTO 06005KT 5SM BR BKN007 BKN033 OVC110 19/19 A3011 RMK T01900190 CIG 5V10  MADISHF
LAF,2021-10-07 07:05,KLAF 070705Z AUTO 06007KT 5SM BR BKN007 BKN036 OVC110 19/19 A3011 RMK T01900190 CIG 5V10  MADISHF
LAF,2021-10-07 07:10,KLAF 070710Z AUTO 06005KT 5SM BR BKN007 BKN036 OVC110 19/19 A3011 RMK T01900190 CIG 5V10  MADISHF
LAF,2021-10-07 07:15,KLAF 070715Z AUTO 07008KT 5SM BR BKN007 OVC110 19/19 A3011 RMK T01900190 CIG 5V10  MADISHF
LAF,2021-10-07 07:20,KLAF 070720Z AUTO 06007KT 5SM BR BKN007 OVC110 19/18 A3011 RMK T01900180 CIG 5V10  MADISHF
LAF,2021-10-07 07:25,KLAF 070725Z AUTO 07005KT 5SM BR BKN007 OVC110 19/18 A3011 RMK T01900180 CIG 5V10  MADISHF
LAF,2021-10-07 07:30,KLAF 070730Z AUTO 06005KT 5SM BR BKN007 OVC110 19/18 A3010 RMK T01900180  LTG DSNT SE! MADISHF
LAF,2021-10-07 07:35,KLAF 070735Z AUTO 06005KT 5SM BR BKN007 OVC110 19/18 A3010 RMK T01900180  LTG DSNT SE AND S! MADISHF
LAF,2021-10-07 07:40,KLAF 070740Z AUTO 07005KT 5SM BR BKN007 OVC110 19/18 A3011 RMK T01900180  LTG DSNT SE AND S! MADISHF
LAF,2021-10-07 07:45,KLAF 070745Z AUTO 08007KT 5SM BR BKN007 OVC110 19/18 A3011 RMK T01900180  LTG DSNT S! MADISHF
LAF,2021-10-07 07:50,KLAF 070750Z AUTO 07008KT 5SM BR BKN007 OVC100 19/18 A3011 RMK T01900180  LTG DSNT S! MADISHF
LAF,2021-10-07 07:54,KLAF 070754Z AUTO 07008KT 5SM BR BKN007 OVC100 19/18 A3010 RMK AO2 SLP191 T01890183
LAF,2021-10-07 07:55,KLAF 070755Z AUTO 06007KT 5SM BR BKN007 OVC100 19/18 A3010 RMK T01900180 MADISHF
LAF,2021-10-07 08:00,KLAF 070800Z AUTO 07005KT 5SM BR BKN007 OVC100 19/18 A3010 RMK T01900180 MADISHF
LAF,2021-10-07 08:05,KLAF 070805Z AUTO 08007KT 5SM BR BKN007 OVC100 19/18 A3010 RMK T01900180  LTG DSNT S! MADISHF
LAF,2021-10-07 08:10,KLAF 070810Z AUTO 08005KT 5SM -RA BR BKN007 BKN022 OVC100 19/18 A3010 RMK T01900180 CIG 6V10  MADISHF
LAF,2021-10-07 08:15,KLAF 070815Z AUTO 12004KT 3SM -RA BR BKN007 BKN022 OVC100 19/18 A3010 RMK P0005 T01900180 CIG 6V12  MADISHF
LAF,2021-10-07 08:20,KLAF 070820Z AUTO 11005KT 2 1/2SM +RA BR BKN007 BKN022 OVC100 19/19 A3011 RMK P0007 T01900190 CIG 5V12  MADISHF
LAF,2021-10-07 08:24,KLAF 070824Z AUTO 00000KT 2 1/2SM RA BR BKN007 BKN022 OVC100 19/19 A3010 RMK AO2 RAB06 CIG 004V012 P0009 T01890189
LAF,2021-10-07 08:25,KLAF 070825Z AUTO 00000KT 2 1/2SM RA BR BKN007 BKN022 OVC100 19/19 A3010 RMK P0009 T01900190 CIG 4V12  MADISHF
LAF,2021-10-07 08:29,KLAF 070829Z AUTO 00000KT 3SM TSRA BR BKN007 BKN022 OVC100 19/19 A3010 RMK AO2 RAB06 TSB27 P0010 T01890189
LAF,2021-10-07 08:30,KLAF 070830Z AUTO 00000KT 3SM RA BR SCT007 BKN011 OVC100 19/19 A3010 RMK P0010 T01900190 MADISHF
LAF,2021-10-07 08:35,KLAF 070835Z AUTO 09005KT 3SM RA BR BKN007 BKN025 OVC110 19/19 A3010 RMK P0010 T01900190  LTG DSNT N! MADISHF
LAF,2021-10-07 08:40,KLAF 070840Z AUTO 07005KT 3SM RA BR SCT008 BKN027 OVC110 19/19 A3009 RMK P0012 T01900190  LTG DSNT N! MADISHF
LAF,2021-10-07 08:41,KLAF 070841Z AUTO 08005KT 3SM TSRA BR SCT008 BKN090 OVC110 19/19 A3009 RMK AO2 LTG DSNT N RAB06 TSB27 P0013 T01890189
LAF,2021-10-07 08:45,KLAF 070845Z AUTO 08007KT 3SM RA BR SCT008 BKN095 OVC110 19/19 A3009 RMK P0015 T01900190  LTG DSNT N! MADISHF
LAF,2021-10-07 08:50,KLAF 070850Z AUTO 08008KT 3SM RA BR FEW008 BKN095 OVC110 19/19 A3009 RMK P0015 T01900190 MADISHF
LAF,2021-10-07 08:54,KLAF 070854Z AUTO 07007KT 3SM RA BR FEW011 BKN095 OVC110 19/19 A3009 RMK AO2 RAB06 TSB27E42 SLP184 P0017 60017 T01890189 58008
LAF,2021-10-07 08:55,KLAF 070855Z AUTO 07007KT 3SM RA BR FEW011 OVC100 19/19 A3009 RMK T01900190 MADISHF
LAF,2021-10-07 09:00,KLAF 070900Z AUTO 08007KT 3SM RA BR BKN100 OVC110 19/19 A3009 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 09:05,KLAF 070905Z AUTO 08007KT 4SM -RA BR BKN100 OVC110 19/19 A3009 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 09:10,KLAF 070910Z AUTO 08005KT 5SM -RA BR FEW012 BKN100 OVC110 19/19 A3009 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 09:15,KLAF 070915Z AUTO 09005KT 5SM -RA BR SCT012 OVC100 19/19 A3010 RMK P0000 T01900190  LTG DSNT W! MADISHF
LAF,2021-10-07 09:20,KLAF 070920Z AUTO 11005KT 5SM BR BKN009 OVC100 19/19 A3010 RMK P0000 T01900190 CIG 8V13  MADISHF
LAF,2021-10-07 09:22,KLAF 070922Z AUTO 11004KT 5SM BR BKN010 OVC110 19/19 A3010 RMK AO2 LTG DSNT W RAE19 CIG 008V013 P0001 T01890189
LAF,2021-10-07 09:25,KLAF 070925Z AUTO 12002KT 4SM BR BKN009 OVC100 19/19 A3010 RMK P0000 T01900190 CIG 7V13  MADISHF
LAF,2021-10-07 09:30,KLAF 070930Z AUTO 00000KT 4SM -RA BR BKN009 OVC100 19/19 A3010 RMK P0000 T01900190 CIG 7V13  MADISHF
LAF,2021-10-07 09:35,KLAF 070935Z AUTO 00000KT 4SM -RA BR OVC009 19/19 A3010 RMK P0000 T01900190 CIG 5V13  MADISHF
LAF,2021-10-07 09:40,KLAF 070940Z AUTO 00000KT 4SM -RA BR OVC009 19/19 A3010 RMK P0000 T01900190 CIG 5V12  MADISHF
LAF,2021-10-07 09:45,KLAF 070945Z AUTO 00000KT 4SM BR OVC008 19/19 A3009 RMK P0000 T01900190 CIG 5V11  MADISHF
LAF,2021-10-07 09:47,KLAF 070947Z AUTO 00000KT 4SM BR OVC008 19/19 A3010 RMK AO2 RAE19B26E45 CIG 005V011 P0002 T01890189
LAF,2021-10-07 09:50,KLAF 070950Z AUTO 00000KT 4SM -RA BR OVC008 19/19 A3010 RMK P0002 T01900190 CIG 5V11  MADISHF
LAF,2021-10-07 09:54,KLAF 070954Z AUTO 00000KT 3SM -RA BR OVC008 19/19 A3010 RMK AO2 RAE19B26 CIG 005V011 SLP188 P0003 T01890189
LAF,2021-10-07 09:55,KLAF 070955Z AUTO 00000KT 3SM -RA BR OVC008 19/19 A3010 RMK T01900190 CIG 5V11  MADISHF
LAF,2021-10-07 10:00,KLAF 071000Z AUTO 00000KT 4SM -RA BR OVC007 19/19 A3010 RMK T01900190 CIG 5V11  MADISHF
LAF,2021-10-07 10:05,KLAF 071005Z AUTO 10002KT 5SM -RA BR OVC007 19/19 A3010 RMK T01900190 CIG 5V10  MADISHF
LAF,2021-10-07 10:10,KLAF 071010Z AUTO 10002KT 4SM -RA BR BKN007 OVC012 19/19 A3010 RMK T01900190 CIG 5V10  MADISHF
LAF,2021-10-07 10:15,KLAF 071015Z AUTO 08004KT 3SM RA BR OVC008 19/19 A3010 RMK P0001 T01900190 CIG 5V14  MADISHF
LAF,2021-10-07 10:20,KLAF 071020Z AUTO 07004KT 2 1/2SM RA BR OVC008 19/19 A3010 RMK P0003 T01900190 CIG 5V10  MADISHF
LAF,2021-10-07 10:23,KLAF 071023Z AUTO 07003KT 2 1/2SM RA BR OVC008 19/19 A3010 RMK AO2 CIG 005V010 P0005 T01890189
LAF,2021-10-07 10:25,KLAF 071025Z AUTO 00000KT 2 1/2SM RA BR OVC008 19/19 A3010 RMK P0005 T01900190 CIG 4V10  MADISHF
LAF,2021-10-07 10:30,KLAF 071030Z AUTO 00000KT 2SM +RA BR BKN006 OVC009 19/19 A3010 RMK P0009 T01900190 CIG 3V8  MADISHF
LAF,2021-10-07 10:33,KLAF 071033Z 00000KT 1 3/4SM +RA BR OVC004 19/19 A3010 RMK AO2 CIG 002V008 P0010 T01890189
LAF,2021-10-07 10:35,KLAF 071035Z AUTO 00000KT 1 1/2SM +RA BR OVC004 19/19 A3010 RMK P0011 T01900190 MADISHF
LAF,2021-10-07 10:40,KLAF 071040Z AUTO 22004KT 1 1/2SM +RA BR BKN004 OVC009 19/19 A3010 RMK P0014 T01900190 MADISHF
LAF,2021-10-07 10:44,KLAF 071044Z 20003KT 2SM -RA BR BKN006 OVC010 19/19 A3010 RMK AO2 P0015 T01890189
LAF,2021-10-07 10:45,KLAF 071045Z AUTO 19002KT 2 1/2SM -RA BR BKN006 OVC009 19/19 A3010 RMK P0015 T01900190 MADISHF
LAF,2021-10-07 10:48,KLAF 071048Z 00000KT 3SM -RA BR BKN004 OVC010 19/19 A3010 RMK AO2 P0015
LAF,2021-10-07 10:50,KLAF 071050Z AUTO 18002KT 5SM -RA BR SCT004 OVC009 19/19 A3010 RMK P0015 T01900190 MADISHF
LAF,2021-10-07 10:54,KLAF 071054Z 18003KT 5SM -RA BR SCT004 BKN010 OVC016 19/19 A3010 RMK AO2 SLP191 P0015 T01890189
LAF,2021-10-07 10:55,KLAF 071055Z AUTO 19002KT 5SM -RA BR SCT004 BKN009 OVC016 19/19 A3010 RMK P0000 T01900190 MADISHF
LAF,2021-10-07 11:00,KLAF 071100Z AUTO 18002KT 6SM -RA BR FEW004 BKN009 OVC016 19/18 A3011 RMK P0000 T01900180 MADISHF
LAF,2021-10-07 11:05,KLAF 071105Z AUTO 18004KT 5SM RA BR SCT009 BKN016 OVC028 19/18 A3011 RMK P0001 T01900180 MADISHF
LAF,2021-10-07 11:07,KLAF 071107Z VRB03KT 5SM RA BR SCT009 BKN016 OVC024 18/18 A3011 RMK AO2 P0002 T01830183
LAF,2021-10-07 11:10,KLAF 071110Z AUTO 17002KT 4SM RA BR FEW009 BKN016 OVC036 18/18 A3011 RMK P0001 T01800180 MADISHF
LAF,2021-10-07 11:15,KLAF 071115Z AUTO 00000KT 6SM -RA BR SCT014 BKN019 OVC029 18/18 A3011 RMK P0002 T01800180 MADISHF
LAF,2021-10-07 11:20,KLAF 071120Z AUTO 14002KT 7SM -RA BKN014 BKN019 OVC028 18/18 A3011 RMK P0002 T01800180 MADISHF
LAF,2021-10-07 11:25,KLAF 071125Z AUTO 14002KT 9SM -RA BKN014 OVC022 18/18 A3011 RMK P0002 T01800180 MADISHF
LAF,2021-10-07 11:26,KLAF 071126Z 00000KT 10SM -RA BKN014 OVC022 18/18 A3011 RMK AO2 P0003 T01830183
LAF,2021-10-07 11:30,KLAF 071130Z AUTO 00000KT 10SM BKN014 OVC022 18/18 A3011 RMK P0002 T01800180 MADISHF
LAF,2021-10-07 11:35,KLAF 071135Z AUTO 12004KT 10SM -RA BKN013 OVC019 18/18 A3011 RMK P0002 T01800180 MADISHF
LAF,2021-10-07 11:40,KLAF 071140Z AUTO 00000KT 8SM -RA BKN013 BKN019 OVC048 18/18 A3011 RMK P0002 T01800180 MADISHF
LAF,2021-10-07 11:45,KLAF 071145Z AUTO 00000KT 8SM -RA BKN016 BKN042 OVC055 18/18 A3011 RMK P0002 T01800180 MADISHF
LAF,2021-10-07 11:47,KLAF 071147Z 00000KT 9SM -RA SCT013 BKN042 OVC055 18/18 A3011 RMK AO2 P0003 T01830183
LAF,2021-10-07 11:50,KLAF 071150Z AUTO 00000KT 10SM -RA SCT016 OVC042 18/18 A3011 RMK P0003 T01800180 MADISHF
LAF,2021-10-07 11:54,KLAF 071154Z 00000KT 10SM -RA SCT018 BKN042 OVC100 18/18 A3011 RMK AO2 SLP191 P0004 60039 70045 T01830183 10189 20183 51007
LAF,2021-10-07 11:55,KLAF 071155Z AUTO 00000KT 9SM -RA SCT018 BKN042 OVC095 18/18 A3011 RMK T01800180 MADISHF
LAF,2021-10-07 12:00,KLAF 071200Z AUTO 00000KT 5SM RA BR FEW018 BKN041 OVC095 18/18 A3011 RMK P0000 T01800180 MADISHF
LAF,2021-10-07 12:05,KLAF 071205Z AUTO 00000KT 4SM RA BR SCT041 BKN055 OVC100 18/18 A3011 RMK P0001 T01800180 MADISHF
LAF,2021-10-07 12:10,KLAF 071210Z AUTO 00000KT 6SM -RA BR FEW009 BKN038 OVC075 18/18 A3011 RMK P0001 T01800180 MADISHF
LAF,2021-10-07 12:12,KLAF 071212Z 00000KT 8SM -RA FEW009 BKN036 OVC075 18/18 A3011 RMK AO2 P0002 T01830183
LAF,2021-10-07 12:15,KLAF 071215Z AUTO 15002KT 10SM -RA BKN036 BKN055 OVC095 18/18 A3011 RMK P0001 T01800180 MADISHF
LAF,2021-10-07 12:20,KLAF 071220Z AUTO 15002KT 10SM FEW016 BKN036 OVC095 18/18 A3011 RMK P0001 T01800180 VRB03KT  MADISHF
LAF,2021-10-07 12:25,KLAF 071225Z AUTO 16002KT 10SM BKN036 BKN050 OVC070 18/18 A3011 RMK P0001 T01800180 MADISHF
LAF,2021-10-07 12:30,KLAF 071230Z AUTO 16004KT 10SM FEW016 BKN036 OVC060 18/18 A3011 RMK P0001 T01800180 MADISHF
LAF,2021-10-07 12:35,KLAF 071235Z AUTO 15004KT 10SM -RA SCT019 BKN036 OVC047 18/18 A3011 RMK P0001 T01800180 MADISHF
