"id"	"date_published"	"region"	"quality"	"views"	"likes"	"shares"	"tags"	"recommendations"	"report"	"duration"	"day_views"	"night_views"	"size"
"0a5hp3301859t3"	"1/19/2020"	"Western Europe"	"720p"	322601	2450	1042	10	1273	"N"	NA	201844	120757	303
"4a3uq6437851o7"	"1/20/2020"	"North America"	"1080p"	302154	2648	1080	9	1988	"N"	NA	183697	118457	869
"1i5ar1205154r0"	"1/8/2020"	"South America"	"1080p"	277509	2762	1245	8	1861	"N"	NA	189828	87681	706
"8x9jd5919587c1"	"8/16/2020"	"North America"	"720p"	353667	1995	1121	162	1693	"N"	NA	228716	124951	523
"2p1bn7449542p7"	"1/20/2020"	"Eastern Europe"	"1080p"	360490	2443	1262	53	2041	"N"	NA	243394	117096	1560
"9r0sq6399748r5"	"6/10/2020"	"Eastern Asia"	"720p"	294477	1076	421	114	1434	"Y"	NA	213458	81019	339
"1z6ks8332760b9"	"5/10/2020"	"Middle East"	"1080p"	343108	682	470	18	1794	"Y"	NA	233499	109609	382
"1a4sl5147152g1"	"12/14/2020"	"Western Europe"	"1080p"	308774	1214	431	151	1950	"Y"	NA	180495	128279	1547
"7j1lp3099001f8"	"9/21/2020"	"Eastern Asia"	"480p"	318175	1327	800	90	1466	"N"	NA	174168	144007	475
"3u3en1181729k8"	"2/10/2020"	"North America"	"1080p"	256556	2212	1099	32	1678	"N"	NA	161242	95314	1589
"2o9nb8589341k6"	"11/12/2020"	"North America"	"1080p"	375056	2958	1041	10	1800	"N"	NA	236468	138588	1685
"6z7kj5706502g8"	"10/26/2020"	"Middle East"	"1080p"	268193	2708	1461	9	1635	"N"	NA	226611	41582	587
"3j1jz5601522v3"	"2/14/2020"	"Eastern Asia"	"1080p"	338862	2496	1149	54	1544	"N"	NA	175852	163010	2254
"4b4dw0638013e5"	"10/23/2020"	"Eastern Asia"	"480p"	338547	1461	709	19	1262	"N"	NA	237634	100913	67
"4r7pb3305929t6"	"12/17/2020"	"South Africa"	"1080p"	264164	2575	1228	16	1636	"N"	NA	138633	125531	469
"9i4bx3313627k7"	"2/27/2020"	"North America"	"240p"	394114	1146	541	72	910	"Y"	NA	231458	162656	19
"3u9dd9371246q4"	"2/19/2020"	"Central Europe"	"1080p"	284275	2464	1344	17	1753	"N"	NA	162750	121525	1029
"1x8ht6529602t9"	"4/8/2020"	"Middle East"	"720p"	357026	2415	1356	24	1620	"N"	NA	240881	116145	613
"7p4za3646035r7"	"9/28/2020"	"North America"	"480p"	363972	1457	858	149	1241	"N"	NA	235648	128324	493
"0g3xd4949438e0"	"5/4/2020"	"South America"	"1080p"	239006	2004	1335	12	1827	"N"	NA	156716	82290	518
"0g8ty9519919p9"	"3/17/2020"	"North America"	"1080p"	314989	2243	1265	19	1658	"N"	NA	200409	114580	7545
"9k6sw8547646j2"	"12/15/2020"	"North America"	"1080p"	391761	2769	1086	13	1884	"N"	NA	248889	142872	309
"0o4ar3425774g4"	"1/19/2020"	"Eastern Asia"	"1080p"	394076	2275	1094	50	1804	"N"	NA	233227	160849	219
"0g8yo0064479o9"	"1/10/2020"	"North America"	"1080p"	282048	1022	539	4	1916	"Y"	NA	183511	98537	468
"2y6fx3232805b3"	"6/16/2020"	"South Europe"	"720p"	286186	2358	1118	3	1378	"N"	NA	182610	103576	887
"5w2js4822992k8"	"6/15/2020"	"North America"	"1080p"	353409	2224	1285	22	1930	"N"	NA	210185	143224	551
"2c7wh6297165k1"	"3/6/2020"	"South Africa"	"360p"	313859	1136	623	16	1175	"N"	NA	188152	125707	194
"5c3ab1254458m0"	"3/10/2020"	"Eastern Asia"	"720p"	287515	2108	1125	10	1558	"N"	NA	196866	90649	334
"5m7hd9588428t1"	"6/5/2020"	"Eastern Asia"	"1080p"	356578	1907	1199	12	1841	"N"	NA	228960	127618	576
"5l8oc5188928g5"	"11/27/2020"	"South Asia"	"1080p"	322077	2595	1113	2	1799	"N"	NA	203713	118364	59
"6k3rw4274529i2"	"11/22/2020"	"North America"	"720p"	278771	2456	1130	127	1604	"N"	NA	155908	122863	209
"0q1zr4306253h5"	"3/31/2020"	"Eastern Asia"	"1080p"	275066	2384	957	111	2271	"N"	NA	153343	121723	534
"9g4pj6506580f5"	"7/29/2020"	"South America"	"1080p"	278051	2558	1262	85	1850	"N"	NA	187442	90609	356
"4f5cv6940519j9"	"3/17/2020"	"North America"	"1080p"	263298	2298	1034	22	1582	"N"	NA	134761	128537	952
"5s6au4440646r7"	"9/25/2020"	"Eastern Asia"	"144p"	334556	958	490	51	861	"N"	NA	231298	103258	19
"1s6eu3094723t9"	"3/29/2020"	"South America"	"1080p"	359803	2177	1167	12	1651	"N"	NA	237068	122735	3367
"6p3fg8427492w9"	"3/11/2020"	"North America"	"1080p"	316962	785	514	17	1727	"Y"	NA	178685	138277	323
"8r8fa8661096r6"	"9/22/2020"	"Eastern Asia"	"720p"	306441	2811	1220	18	1770	"N"	NA	173365	133076	564
"7t6uk8446480v3"	"7/22/2020"	"Western Europe"	"1080p"	310594	2712	1430	84	2199	"N"	NA	244769	65825	1370
"0f0zt1733282v6"	"2/18/2020"	"North America"	"1080p"	190050	2474	1211	91	2007	"N"	NA	108336	81714	237
"3g2rp9762614j8"	"9/17/2020"	"North America"	"1080p"	347298	2777	1363	8	1838	"N"	NA	220574	126724	1621
"6c5oa9432466j8"	"2/8/2020"	"Caribbean"	"1080p"	279361	2879	1162	10	1907	"N"	NA	156855	122506	437
"0k9pr8116011d6"	"11/9/2020"	"Caribbean"	"1080p"	230579	2190	1203	213	1702	"N"	NA	155728	74851	408
"5l3qh7026548k5"	"2/8/2020"	"Western Europe"	"360p"	373162	1147	568	15	1329	"N"	NA	175799	197363	444
"6r7ep5298307x1"	"11/4/2020"	"Eastern Asia"	"720p"	282747	2642	1085	21	1396	"N"	NA	189799	92948	259
"8d3zi8006386o5"	"11/27/2020"	"Western Europe"	"1080p"	413037	2004	1274	39	1644	"N"	NA	230997	182040	1214
"4p9ue6896188u1"	"1/24/2020"	"North Africa"	"1080p"	240809	2617	1236	25	1943	"N"	NA	168992	71817	512
"6r6wr6465207t7"	"1/15/2020"	"North America"	"240p"	235894	1259	575	8	914	"N"	NA	208684	27210	63
"8e2hg5638473i3"	"7/27/2020"	"Eastern Asia"	"1080p"	369284	2444	1056	40	1651	"N"	NA	245398	123886	491
"6s5zp9622690w6"	"6/12/2020"	"Eastern Asia"	"720p"	333168	2551	1246	24	1628	"N"	NA	197743	135425	117
"5k8nf4750080f0"	"4/17/2020"	"North America"	"1080p"	291675	700	512	22	1547	"Y"	NA	207057	84618	600
"7n1oh0462873x0"	"6/12/2020"	"North America"	"240p"	332151	1269	495	161	963	"N"	NA	237899	94252	34
"9k0em0806080f9"	"12/6/2020"	"North America"	"1080p"	324134	1076	500	47	2042	"Y"	NA	237969	86165	1544
"1x7tn0724132i3"	"7/24/2020"	"Western Europe"	"720p"	350164	2393	1174	7	1593	"N"	NA	221481	128683	1035
"7h2qn1075523t0"	"12/31/2020"	"Caribbean"	"720p"	387414	2030	1132	53	1666	"N"	NA	194412	193002	459
"6g7ei7566775i3"	"4/25/2020"	"Southeast Asia"	"240p"	370373	766	476	20	826	"Y"	NA	211247	159126	84
"9s8ge1642854e1"	"3/5/2020"	"South America"	"1080p"	297184	1012	648	12	2096	"Y"	NA	189406	107778	4700
"6o4zc8611349y9"	"12/27/2020"	"Central Europe"	"240p"	333847	1309	547	37	1024	"N"	NA	222636	111211	298
"0y9tn1770711x0"	"5/13/2020"	"Eastern Asia"	"1080p"	325110	2776	1134	30	1846	"N"	NA	181578	143532	142
"5x1vp4243815y8"	"9/16/2020"	"Eastern Asia"	"1080p"	280041	2389	1069	8	1665	"N"	NA	143802	136239	154
"4j4ay6312254p6"	"10/11/2020"	"North Africa"	"720p"	353297	2436	1184	156	1309	"N"	NA	278073	75224	330
"3m5ec0797690a7"	"2/15/2020"	"Caribbean"	"1080p"	415925	1036	536	53	1752	"Y"	NA	260245	155680	1684
"5q9ek9041293h6"	"4/15/2020"	"North America"	"720p"	279082	2398	1328	26	1701	"N"	NA	171408	107674	499
"8g6un5706558p9"	"8/3/2020"	"Eastern Asia"	"720p"	338976	2498	1231	33	1740	"N"	NA	222490	116486	1286
"5i0zf4522467p1"	"2/27/2020"	"North America"	"1080p"	360701	2607	1366	2	1749	"N"	NA	198968	161733	2410
"6m7tt7116962p6"	"4/28/2020"	"Central Europe"	"1080p"	274469	2337	1168	74	1845	"N"	NA	180129	94340	259
"4d7id1054538m1"	"2/1/2020"	"Central Europe"	"1080p"	358219	2281	1136	14	1937	"N"	NA	221473	136746	445
"9y9jb6387949u0"	"10/16/2020"	"Oceania"	"720p"	360569	2440	1287	20	1388	"N"	NA	210527	150042	1162
"7n7os8063026y0"	"4/30/2020"	"Western Europe"	"1080p"	330320	2771	1131	8	1743	"N"	NA	154289	176031	711
"4i7jm9350523u7"	"4/23/2020"	"North America"	"720p"	277753	2877	1077	95	1411	"N"	NA	163614	114139	853
"2d6bc9599025r6"	"3/20/2020"	"Eastern Europe"	"1080p"	283085	1995	1152	12	1616	"N"	NA	178416	104669	822
"7c2dw6982977a5"	"12/11/2020"	"Eastern Asia"	"1080p"	371406	2652	1229	7	1995	"N"	NA	208468	162938	1959
"5l2cq5701470t7"	"11/23/2020"	"Eastern Asia"	"720p"	348144	2725	1201	40	1449	"N"	NA	193586	154558	413
"7a4fy7415424b2"	"1/29/2020"	"Caribbean"	"1080p"	324912	2182	1120	45	1846	"N"	NA	158698	166214	382
"2d1iz7677618f4"	"11/14/2020"	"Middle East"	"720p"	300872	2793	1072	63	1547	"N"	NA	186044	114828	187
"6y5iv4533579d5"	"8/7/2020"	"South America"	"1080p"	296393	2550	1088	14	1954	"N"	NA	217613	78780	1941
"9i0cz2369641w7"	"8/23/2020"	"North America"	"480p"	271359	1503	824	19	1434	"N"	NA	157489	113870	78
"6x8xk9177867u3"	"4/15/2020"	"Scandinavia"	"1080p"	286643	2202	1272	26	1662	"N"	NA	177048	109595	1268
"1i6bs3204120q3"	"11/19/2020"	"North America"	"1080p"	366224	3090	1246	12	1917	"N"	NA	193810	172414	3947
"0u5ax8321665c8"	"9/7/2020"	"Middle East"	"1080p"	338486	1827	1229	18	1963	"N"	NA	203232	135254	852
"6q5hc4416239p7"	"7/30/2020"	"Scandinavia"	"240p"	319552	1280	685	25	1095	"N"	NA	160870	158682	49
"9v5uz8561799k1"	"9/27/2020"	"Western Europe"	"480p"	250143	1467	797	27	1371	"N"	NA	137754	112389	815
"2u5vx8581663l6"	"11/18/2020"	"Eastern Asia"	"720p"	227304	2445	1204	72	1446	"N"	NA	169451	57853	175
"3o9gu3475290u4"	"4/3/2020"	"Eastern Asia"	"240p"	364564	1210	525	218	1027	"N"	NA	261866	102698	50
"6s1sv5894191z4"	"3/21/2020"	"Eastern Asia"	"720p"	323226	3295	1140	64	1466	"N"	NA	217546	105680	139
"1p1mu1542502d2"	"2/13/2020"	"North America"	"720p"	283657	2193	1113	16	1538	"N"	NA	183345	100312	219
"7z7uk7274779f1"	"1/20/2020"	"Western Europe"	"480p"	396547	1564	867	39	1647	"N"	NA	281929	114618	130
"2d1ut7785547s4"	"1/24/2020"	"Western Europe"	"1080p"	282036	2768	1144	145	1953	"N"	NA	185978	96058	4449
"4y1ty2215505x9"	"1/2/2020"	"Eastern Europe"	"1080p"	230393	2988	1229	63	1582	"N"	NA	146406	83987	3216
"7p4to4898700j5"	"11/2/2020"	"North America"	"144p"	323318	920	608	36	670	"Y"	NA	187241	136077	51
"1d2ly6538208z4"	"10/31/2020"	"Eastern Europe"	"720p"	270070	1998	1278	31	1574	"N"	NA	150738	119332	373
"9g1ps1161842b2"	"9/10/2020"	"North America"	"1080p"	284826	2484	1102	80	1548	"N"	NA	180915	103911	507
"2z8of6274967l5"	"3/10/2020"	"Western Europe"	"1080p"	242316	2696	1195	6	1725	"N"	NA	138622	103694	159
"9j7sh1841760j5"	"3/17/2020"	"North America"	"1080p"	379750	2798	1112	16	1942	"N"	NA	244612	135138	456
"6c3pc2147974o7"	"9/26/2020"	"South Europe"	"1080p"	360498	2460	1227	6	2071	"N"	NA	264984	95514	1397
"6o3gr5988117u9"	"6/3/2020"	"Eastern Asia"	"480p"	349832	1446	793	43	1468	"N"	NA	269293	80539	442
"0t5gs8862588k0"	"4/12/2020"	"Eastern Europe"	"1080p"	351872	2778	1295	87	1704	"N"	NA	239294	112578	121
"9q4ej8243310q8"	"7/13/2020"	"Middle East"	"360p"	281138	1220	564	21	1316	"N"	NA	165454	115684	117
"9q3qy6551269y1"	"10/19/2020"	"North America"	"720p"	232760	992	483	48	1546	"Y"	NA	139152	93608	794
"9u9mn9274921f6"	"2/9/2020"	"Central Europe"	"1080p"	305854	2059	1216	37	1583	"N"	NA	179245	126609	1011
"9r9lp6528473y1"	"1/10/2020"	"North America"	"720p"	253061	2863	1101	12	1705	"N"	NA	166036	87025	2136
"8i5fg7641108u5"	"10/31/2020"	"Scandinavia"	"240p"	368540	966	546	33	1019	"Y"	NA	225592	142948	46
"1f4sb5041493u7"	"7/24/2020"	"Western Europe"	"1080p"	319883	2716	1170	6	1996	"N"	NA	194645	125238	1761
"2d3at7261176c2"	"8/2/2020"	"Eastern Asia"	"1080p"	251727	2503	1348	12	1715	"N"	NA	156784	94943	1426
"0h5ag0074183z9"	"1/23/2020"	"Southeast Asia"	"720p"	415372	2970	1190	15	1656	"N"	NA	276494	138878	759
"3p8ov1443894n6"	"5/14/2020"	"Eastern Asia"	"720p"	349846	2544	1092	22	1551	"N"	NA	174448	175398	668
"8o0tq7477678l3"	"6/9/2020"	"Western Africa"	"1080p"	234615	2674	1308	38	1823	"N"	NA	123110	111505	1070
"8g0hc7408997n8"	"6/13/2020"	"South Europe"	"480p"	298115	1410	783	74	1405	"N"	NA	168835	129280	199
"7i1pj7520556c8"	"12/15/2020"	"South Europe"	"1080p"	288499	2954	1274	14	1932	"N"	NA	164813	123686	643
"8f4qd6460328i3"	"3/9/2020"	"North America"	"720p"	410962	2330	1128	16	1583	"N"	NA	237456	173506	65
"0h3eg4511554a5"	"4/30/2020"	"Central Europe"	"1080p"	229501	2246	1197	27	1992	"N"	NA	150175	79326	189
"4k1vw8659991j4"	"11/5/2020"	"Oceania"	"720p"	318100	2705	1084	41	1710	"N"	NA	213735	104365	1800
"4d2ff9082003z5"	"8/24/2020"	"Eastern Asia"	"720p"	240782	1021	478	66	1949	"Y"	NA	166436	74346	556
"6h5zu4661692j0"	"7/17/2020"	"South Africa"	"1080p"	349096	2742	1374	115	1655	"N"	NA	203741	145355	545
"7v4dm4532986o0"	"12/27/2020"	"Western Europe"	"1080p"	309556	2221	1164	11	1573	"N"	NA	208391	101165	947
"0a3yo0298451v0"	"12/13/2020"	"North America"	"720p"	206273	2649	1108	14	1704	"N"	NA	114434	91839	136
"6r4kw3198726a7"	"4/21/2020"	"Scandinavia"	"1080p"	329375	2263	1251	80	1710	"N"	NA	200832	128543	221
"0a5zj3084496o3"	"4/29/2020"	"North America"	"1080p"	316698	2278	1203	4	1838	"N"	NA	185083	131615	523
"7u6tt4742525e8"	"8/7/2020"	"Eastern Asia"	"480p"	335879	1485	781	53	1514	"N"	NA	234412	101467	272
"8h3fc6986168f3"	"5/24/2020"	"Western Europe"	"1080p"	347530	2840	1252	29	1722	"N"	NA	223092	124438	2011
"3f0rr9094294p7"	"12/23/2020"	"North Africa"	"1080p"	272880	2745	1455	11	1802	"N"	NA	175682	97198	949
"0u0ac3583661i6"	"4/18/2020"	"South Europe"	"1080p"	381431	2777	1230	31	1993	"N"	NA	261148	120283	1449
"1h3nm8068410x3"	"9/11/2020"	"Scandinavia"	"1080p"	306496	2047	1133	24	1694	"N"	NA	212256	94240	568
"9v6ty4582280j5"	"3/23/2020"	"North Africa"	"1080p"	297756	2139	1234	25	1645	"N"	NA	178559	119197	525
"4t6ww6854795p4"	"6/13/2020"	"Eastern Asia"	"1080p"	271732	3199	1345	49	1563	"N"	NA	138297	133435	567
"4x6ki1463425d2"	"6/25/2020"	"North America"	"1080p"	229417	1268	474	82	1804	"Y"	NA	130372	99045	1030
"5i6ii5191249i7"	"6/22/2020"	"South Asia"	"720p"	265724	2613	1204	11	1518	"N"	NA	164714	101010	486
"8s0zl9593942p8"	"3/4/2020"	"North America"	"720p"	310042	2199	1374	25	1577	"N"	NA	268985	41057	1055
"9e2fs0437460s7"	"1/7/2020"	"Eastern Asia"	"1080p"	380206	2283	1270	19	1788	"N"	NA	224877	155329	272
"2e3gt7065663t4"	"6/29/2020"	"North America"	"1080p"	295692	1939	1405	331	2024	"N"	NA	206346	89346	2215
"0u0vr0742830d5"	"1/8/2020"	"Central Europe"	"1080p"	264433	894	513	96	1675	"Y"	NA	173665	90768	123
"5v1mo7618062f4"	"3/16/2020"	"North America"	"720p"	363421	2265	1096	47	1370	"N"	NA	244740	118681	135
"1y5nk2141780v1"	"12/9/2020"	"Eastern Europe"	"480p"	250764	693	571	97	1181	"Y"	NA	152584	98180	338
"5k3ah8911783u5"	"12/12/2020"	"South Europe"	"1080p"	336367	1753	1338	21	2091	"N"	NA	237135	99232	920
"1w2uu1900217x6"	"9/10/2020"	"Eastern Asia"	"1080p"	287876	2712	1200	6	2037	"N"	NA	185812	102064	2454
"3f4fl2582679w9"	"5/13/2020"	"North America"	"720p"	377466	2656	1194	29	1708	"N"	NA	246363	131103	585
"9d7tl4157374n2"	"10/13/2020"	"Western Europe"	"1080p"	379282	2437	1252	132	1752	"N"	NA	270903	108379	996
"6q3he6907478f0"	"6/2/2020"	"North America"	"1080p"	349288	2352	1271	21	1907	"N"	NA	198707	150581	718
"0r8rk6057636l2"	"4/28/2020"	"Southeast Asia"	"720p"	320093	2673	1262	25	1660	"N"	NA	193498	126595	377
"2v3br7849584w8"	"8/13/2020"	"North America"	"720p"	291348	2775	1241	51	1872	"N"	NA	205270	86078	754
"9t1uf7209911h6"	"6/6/2020"	"North America"	"720p"	280816	2522	1268	27	1618	"N"	NA	171881	108935	630
"6q1vj4294587v9"	"10/19/2020"	"Central Europe"	"1080p"	315418	2391	1231	11	1816	"N"	NA	163089	152329	876
"0z8wv3572600f7"	"4/12/2020"	"Western Europe"	"720p"	281139	1562	545	3	1552	"Y"	NA	165917	115222	84
"8o2ve3060205i9"	"1/27/2020"	"Middle East"	"1080p"	256219	2506	1324	11	1636	"N"	NA	126491	129728	463
"8z0yc2346041p3"	"7/29/2020"	"Central Africa"	"480p"	374062	1452	838	48	1372	"N"	NA	282970	91092	254
"7u4ct9581977t1"	"5/18/2020"	"South Europe"	"480p"	358480	1526	720	135	1682	"N"	NA	197601	160879	19
"1k1js5864143h5"	"11/26/2020"	"Eastern Asia"	"1080p"	272337	2611	1248	40	1815	"N"	NA	156744	115593	894
"5l0mc7332506h9"	"10/27/2020"	"South Europe"	"1080p"	328325	2732	1275	15	1833	"N"	NA	192562	135763	645
"1y7mg9482183h3"	"12/17/2020"	"Western Europe"	"1080p"	278819	2564	1165	98	1691	"N"	NA	206359	72460	64
"7h2np8866513j6"	"3/16/2020"	"Eastern Asia"	"720p"	258430	422	558	34	1645	"Y"	NA	143338	115092	163
"0k9qa4519166c0"	"2/18/2020"	"Central Europe"	"1080p"	222404	2357	1227	56	1766	"N"	NA	93377	129027	527
"6p2ku8936915m5"	"4/5/2020"	"North America"	"1080p"	306309	2496	1339	153	1721	"N"	NA	164691	141618	376
"5d5xk8089646d0"	"11/22/2020"	"South Europe"	"720p"	319084	743	487	6	1408	"Y"	NA	183991	135093	75
"5a9fa2589771r8"	"6/5/2020"	"South America"	"720p"	360776	2069	1351	10	1999	"N"	NA	192550	168226	922
"5p4wv2335871c7"	"10/23/2020"	"Western Europe"	"1080p"	338989	2366	1401	12	1739	"N"	NA	190136	148853	438
"2j6ul5092525x1"	"5/18/2020"	"North America"	"720p"	345541	2752	1184	54	1653	"N"	NA	216388	129153	268
"0i5uc6423252v8"	"5/5/2020"	"North America"	"1080p"	195592	2648	1229	12	2157	"N"	NA	132007	63585	602
"2d8hf1512202t4"	"4/1/2020"	"Western Europe"	"720p"	312353	2322	1169	24	1627	"N"	NA	139293	173060	195
"1b6oh8538693c9"	"1/30/2020"	"Western Europe"	"1080p"	415317	2384	1195	46	2294	"N"	NA	249222	166095	634
"2y7vr7738753s4"	"12/11/2020"	"North America"	"1080p"	296748	2248	1107	32	1588	"N"	NA	161957	134791	920
"0j5io0913835i4"	"6/16/2020"	"Caribbean"	"1080p"	253339	1529	1297	56	2007	"N"	NA	145007	108332	212
"3n5qq0409468p3"	"9/29/2020"	"Eastern Asia"	"1080p"	299551	2997	1054	88	1896	"N"	NA	211688	87863	221
"3o6ll7163234v0"	"2/8/2020"	"North America"	"1080p"	290615	2344	1201	21	1939	"N"	NA	222870	67745	305
"9h0gu8597097p1"	"5/28/2020"	"Southeast Asia"	"720p"	327836	2417	1286	13	1646	"N"	NA	191166	136670	285
"1q5uc2790546a5"	"5/20/2020"	"South America"	"1080p"	387048	2377	1235	32	1726	"N"	NA	248113	138935	775
"6i3kn1537937w9"	"12/18/2020"	"Western Europe"	"480p"	277048	1524	836	13	1204	"N"	NA	178311	98737	52
"8o5ie3489344n8"	"4/13/2020"	"North America"	"1080p"	296988	2379	1320	46	1701	"N"	NA	172536	124452	359
"8x9ih7343970u7"	"10/6/2020"	"Central Europe"	"1080p"	325447	1922	1142	2	1697	"N"	NA	203640	121807	301
"4h6pt2649781u4"	"9/23/2020"	"Eastern Asia"	"720p"	359529	649	474	23	1447	"Y"	NA	177739	181790	772
"9h0eu5933559j5"	"1/28/2020"	"North America"	"360p"	292109	1146	584	305	1243	"N"	NA	171009	121100	402
"2u2ph5430073a3"	"9/10/2020"	"Middle East"	"1080p"	323637	2469	1281	25	1618	"N"	NA	199646	123991	1685
"6l4rj4404306a0"	"5/28/2020"	"Eastern Asia"	"720p"	167466	2352	1212	158	1522	"N"	NA	97520	69946	2813
"6t4yr8494672s8"	"2/28/2020"	"Central Africa"	"1080p"	359062	2862	1152	89	1658	"N"	NA	218843	140219	1080
"5l2yk3684254w1"	"3/7/2020"	"Western Europe"	"720p"	264079	2592	1199	101	1844	"N"	NA	139460	124619	775
"4e0pj0476232u9"	"12/29/2020"	"Eastern Asia"	"720p"	380967	2193	1277	8	1722	"N"	NA	234187	146780	280
"8p7hm9972377k9"	"6/4/2020"	"South America"	"1080p"	328670	2259	1229	87	1827	"N"	NA	187381	141289	247
"1x1qk5221665o5"	"2/26/2020"	"Eastern Asia"	"1080p"	298770	2211	1142	28	1689	"N"	NA	204548	94222	312
"1d9qy8162804q6"	"6/23/2020"	"South America"	"720p"	351219	2291	1078	68	1755	"N"	NA	183596	167623	199
"8n2wk2302676y8"	"6/16/2020"	"Middle East"	"720p"	293472	3054	1330	23	1603	"N"	NA	150631	142841	718
"9c2fx3602923v0"	"5/7/2020"	"Central Europe"	"480p"	402994	1726	689	43	1521	"N"	NA	257796	145198	326
"3u5ld3399118h5"	"3/16/2020"	"South Europe"	"1080p"	299796	2078	1360	75	1732	"N"	NA	153490	146306	405
"6l6wx3312853i7"	"11/24/2020"	"Middle East"	"1080p"	282404	1836	1189	44	1812	"N"	NA	171638	110766	681
"8l6xc9814755a5"	"8/10/2020"	"South Europe"	"720p"	357317	2205	1093	116	1686	"N"	NA	224747	132570	2509
"3v3wt2061715u1"	"3/22/2020"	"Central Africa"	"720p"	304918	2824	1224	40	1845	"N"	NA	168084	136834	769
"7v2rr7741770s5"	"9/1/2020"	"North America"	"720p"	238584	2060	1140	39	1634	"N"	NA	122635	115949	1046
"0d0hf1994084t2"	"9/14/2020"	"South Europe"	"1080p"	287983	2445	1047	60	1800	"N"	NA	174228	113755	416
"1f9uj0090931f0"	"6/17/2020"	"Eastern Asia"	"720p"	363232	1143	469	11	1574	"Y"	NA	228423	134809	979
"8c5an4796599b6"	"11/8/2020"	"Eastern Asia"	"1080p"	352728	2235	1107	11	1786	"N"	NA	219365	133363	707
"9k4on6031795b5"	"9/22/2020"	"Middle East"	"1080p"	300903	2189	1163	7	1764	"N"	NA	221169	79734	506
"3x2td6410834q2"	"8/6/2020"	"South America"	"1080p"	234320	2501	1071	18	1591	"N"	NA	124184	110136	540
"7p7cb4216013l0"	"2/6/2020"	"Western Europe"	"720p"	246876	2516	1097	38	1560	"N"	NA	145517	101359	237
"7q0nz9418899f8"	"6/14/2020"	"Eastern Asia"	"1080p"	300354	2663	1272	72	1638	"N"	NA	189474	110880	872
"2d8zx4087481w4"	"12/16/2020"	"Caribbean"	"1080p"	371444	2509	1228	171	1814	"N"	NA	212535	158909	481
"9c9ni4205159w1"	"9/28/2020"	"Middle East"	"1080p"	267539	842	450	17	1977	"Y"	NA	161674	105865	416
"9x9pv4600361m1"	"6/12/2020"	"Eastern Asia"	"1080p"	349149	2995	1209	8	1765	"N"	NA	237342	111807	234
"6i0jm1132442n6"	"12/16/2020"	"Western Africa"	"720p"	262006	2705	1149	91	1735	"N"	NA	162071	99935	79
"4f6wf0106583c4"	"12/6/2020"	"South Asia"	"1080p"	271324	2753	1286	14	1792	"N"	NA	156883	114441	421
"3p1lg8233005l0"	"1/7/2020"	"Western Europe"	"720p"	377429	2750	979	4	1815	"N"	NA	259150	118279	660
"9c1sq1753472z0"	"11/24/2020"	"Caribbean"	"720p"	288999	2362	1157	16	1181	"N"	NA	174805	114194	385
"4e4ib6160790s5"	"11/7/2020"	"Eastern Asia"	"1080p"	412910	1321	590	21	1856	"Y"	NA	292699	120211	1447
