"id"	"date_published"	"region"	"quality"	"views"	"likes"	"shares"	"tags"	"recommendations"	"report"	"duration"	"day_views"	"night_views"	"size"
"7p4to4898700j5"	"11/2/2020"	"North America"	"144p"	323318	920	608	36	670	"Y"	1139	187241	136077	51
"1d2ly6538208z4"	"10/31/2020"	"Eastern Europe"	"720p"	270070	1998	1278	31	1574	"N"	711	150738	119332	373
"9g1ps1161842b2"	"9/10/2020"	"North America"	"1080p"	284826	2484	1102	80	1548	"N"	620	180915	103911	507
"2z8of6274967l5"	"3/10/2020"	"Western Europe"	"1080p"	242316	2696	1195	6	1725	"N"	199	138622	103694	159
"9j7sh1841760j5"	"3/17/2020"	"North America"	"1080p"	379750	2798	1112	16	1942	"N"	540	244612	135138	456
"6c3pc2147974o7"	"9/26/2020"	"South Europe"	"1080p"	360498	2460	1227	6	2071	"N"	1695	264984	95514	1397
"6o3gr5988117u9"	"6/3/2020"	"Eastern Asia"	"480p"	349832	1446	793	43	1468	"N"	1803	269293	80539	442
"0t5gs8862588k0"	"4/12/2020"	"Eastern Europe"	"1080p"	351872	2778	1295	87	1704	"N"	162	239294	112578	121
"9q4ej8243310q8"	"7/13/2020"	"Middle East"	"360p"	281138	1220	564	21	1316	"N"	776	165454	115684	117
"9q3qy6551269y1"	"10/19/2020"	"North America"	"720p"	232760	992	483	48	1546	"Y"	1503	139152	93608	794
"9u9mn9274921f6"	"2/9/2020"	"Central Europe"	"1080p"	305854	2059	1216	37	1583	"N"	1210	179245	126609	1011
"9r9lp6528473y1"	"1/10/2020"	"North America"	"720p"	253061	2863	1101	12	1705	"N"	4019	166036	87025	2136
"8i5fg7641108u5"	"10/31/2020"	"Scandinavia"	"240p"	368540	966	546	33	1019	"Y"	530	225592	142948	46
"1f4sb5041493u7"	"7/24/2020"	"Western Europe"	"1080p"	319883	2716	1170	6	1996	"N"	2104	194645	125238	1761
"2d3at7261176c2"	"8/2/2020"	"Eastern Asia"	"1080p"	251727	2503	1348	12	1715	"N"	1723	156784	94943	1426
"0h5ag0074183z9"	"1/23/2020"	"Southeast Asia"	"720p"	415372	2970	1190	15	1656	"N"	1423	276494	138878	759
"3p8ov1443894n6"	"5/14/2020"	"Eastern Asia"	"720p"	349846	2544	1092	22	1551	"N"	1259	174448	175398	668
"8o0tq7477678l3"	"6/9/2020"	"Western Africa"	"1080p"	234615	2674	1308	38	1823	"N"	1265	123110	111505	1070
"8g0hc7408997n8"	"6/13/2020"	"South Europe"	"480p"	298115	1410	783	74	1405	"N"	780	168835	129280	199
"7i1pj7520556c8"	"12/15/2020"	"South Europe"	"1080p"	288499	2954	1274	14	1932	"N"	787	164813	123686	643
"8f4qd6460328i3"	"3/9/2020"	"North America"	"720p"	410962	2330	1128	16	1583	"N"	123	237456	173506	65
"0h3eg4511554a5"	"4/30/2020"	"Central Europe"	"1080p"	229501	2246	1197	27	1992	"N"	215	150175	79326	189
"4k1vw8659991j4"	"11/5/2020"	"Oceania"	"720p"	318100	2705	1084	41	1710	"N"	3356	213735	104365	1800
"4d2ff9082003z5"	"8/24/2020"	"Eastern Asia"	"720p"	240782	1021	478	66	1949	"Y"	1009	166436	74346	556
"6h5zu4661692j0"	"7/17/2020"	"South Africa"	"1080p"	349096	2742	1374	115	1655	"N"	668	203741	145355	545
"7v4dm4532986o0"	"12/27/2020"	"Western Europe"	"1080p"	309556	2221	1164	11	1573	"N"	1138	208391	101165	947
"0a3yo0298451v0"	"12/13/2020"	"North America"	"720p"	206273	2649	1108	14	1704	"N"	249	114434	91839	136
"6r4kw3198726a7"	"4/21/2020"	"Scandinavia"	"1080p"	329375	2263	1251	80	1710	"N"	255	200832	128543	221
"0a5zj3084496o3"	"4/29/2020"	"North America"	"1080p"	316698	2278	1203	4	1838	"N"	624	185083	131615	523
"7u6tt4742525e8"	"8/7/2020"	"Eastern Asia"	"480p"	335879	1485	781	53	1514	"N"	1127	234412	101467	272
"8h3fc6986168f3"	"5/24/2020"	"Western Europe"	"1080p"	347530	2840	1252	29	1722	"N"	2429	223092	124438	2011
"3f0rr9094294p7"	"12/23/2020"	"North Africa"	"1080p"	272880	2745	1455	11	1802	"N"	1139	175682	97198	949
"0u0ac3583661i6"	"4/18/2020"	"South Europe"	"1080p"	381431	2777	1230	31	1993	"N"	1728	261148	120283	1449
"1h3nm8068410x3"	"9/11/2020"	"Scandinavia"	"1080p"	306496	2047	1133	24	1694	"N"	673	212256	94240	568
"9v6ty4582280j5"	"3/23/2020"	"North Africa"	"1080p"	297756	2139	1234	25	1645	"N"	627	178559	119197	525
"4t6ww6854795p4"	"6/13/2020"	"Eastern Asia"	"1080p"	271732	3199	1345	49	1563	"N"	684	138297	133435	567
"4x6ki1463425d2"	"6/25/2020"	"North America"	"1080p"	229417	1268	474	82	1804	"Y"	1227	130372	99045	1030
"5i6ii5191249i7"	"6/22/2020"	"South Asia"	"720p"	265724	2613	1204	11	1518	"N"	864	164714	101010	486
"8s0zl9593942p8"	"3/4/2020"	"North America"	"720p"	310042	2199	1374	25	1577	"N"	1985	268985	41057	1055
"9e2fs0437460s7"	"1/7/2020"	"Eastern Asia"	"1080p"	380206	2283	1270	19	1788	"N"	328	224877	155329	272
"2e3gt7065663t4"	"6/29/2020"	"North America"	"1080p"	295692	1939	1405	331	2024	"N"	2656	206346	89346	2215
"0u0vr0742830d5"	"1/8/2020"	"Central Europe"	"1080p"	264433	894	513	96	1675	"Y"	133	173665	90768	123
"5v1mo7618062f4"	"3/16/2020"	"North America"	"720p"	363421	2265	1096	47	1370	"N"	265	244740	118681	135
"1y5nk2141780v1"	"12/9/2020"	"Eastern Europe"	"480p"	250764	693	571	97	1181	"Y"	1275	152584	98180	338
"5k3ah8911783u5"	"12/12/2020"	"South Europe"	"1080p"	336367	1753	1338	21	2091	"N"	1113	237135	99232	920
"1w2uu1900217x6"	"9/10/2020"	"Eastern Asia"	"1080p"	287876	2712	1200	6	2037	"N"	2917	185812	102064	2454
"3f4fl2582679w9"	"5/13/2020"	"North America"	"720p"	377466	2656	1194	29	1708	"N"	1107	246363	131103	585
"9d7tl4157374n2"	"10/13/2020"	"Western Europe"	"1080p"	379282	2437	1252	132	1752	"N"	1203	270903	108379	996
"6q3he6907478f0"	"6/2/2020"	"North America"	"1080p"	349288	2352	1271	21	1907	"N"	872	198707	150581	718
"0r8rk6057636l2"	"4/28/2020"	"Southeast Asia"	"720p"	320093	2673	1262	25	1660	"N"	713	193498	126595	377
"2v3br7849584w8"	"8/13/2020"	"North America"	"720p"	291348	2775	1241	51	1872	"N"	1421	205270	86078	754
"9t1uf7209911h6"	"6/6/2020"	"North America"	"720p"	280816	2522	1268	27	1618	"N"	1199	171881	108935	630
"6q1vj4294587v9"	"10/19/2020"	"Central Europe"	"1080p"	315418	2391	1231	11	1816	"N"	1058	163089	152329	876
"0z8wv3572600f7"	"4/12/2020"	"Western Europe"	"720p"	281139	1562	545	3	1552	"Y"	161	165917	115222	84
"8o2ve3060205i9"	"1/27/2020"	"Middle East"	"1080p"	256219	2506	1324	11	1636	"N"	544	126491	129728	463
"8z0yc2346041p3"	"7/29/2020"	"Central Africa"	"480p"	374062	1452	838	48	1372	"N"	1006	282970	91092	254
"7u4ct9581977t1"	"5/18/2020"	"South Europe"	"480p"	358480	1526	720	135	1682	"N"	146	197601	160879	19
"1k1js5864143h5"	"11/26/2020"	"Eastern Asia"	"1080p"	272337	2611	1248	40	1815	"N"	1067	156744	115593	894
"5l0mc7332506h9"	"10/27/2020"	"South Europe"	"1080p"	328325	2732	1275	15	1833	"N"	794	192562	135763	645
"1y7mg9482183h3"	"12/17/2020"	"Western Europe"	"1080p"	278819	2564	1165	98	1691	"N"	70	206359	72460	64
"7h2np8866513j6"	"3/16/2020"	"Eastern Asia"	"720p"	258430	422	558	34	1645	"Y"	317	143338	115092	163
"0k9qa4519166c0"	"2/18/2020"	"Central Europe"	"1080p"	222404	2357	1227	56	1766	"N"	636	93377	129027	527
"6p2ku8936915m5"	"4/5/2020"	"North America"	"1080p"	306309	2496	1339	153	1721	"N"	459	164691	141618	376
"5d5xk8089646d0"	"11/22/2020"	"South Europe"	"720p"	319084	743	487	6	1408	"Y"	112	183991	135093	75
"5a9fa2589771r8"	"6/5/2020"	"South America"	"720p"	360776	2069	1351	10	1999	"N"	1729	192550	168226	922
"5p4wv2335871c7"	"10/23/2020"	"Western Europe"	"1080p"	338989	2366	1401	12	1739	"N"	528	190136	148853	438
"2j6ul5092525x1"	"5/18/2020"	"North America"	"720p"	345541	2752	1184	54	1653	"N"	518	216388	129153	268
"0i5uc6423252v8"	"5/5/2020"	"North America"	"1080p"	195592	2648	1229	12	2157	"N"	700	132007	63585	602
"2d8hf1512202t4"	"4/1/2020"	"Western Europe"	"720p"	312353	2322	1169	24	1627	"N"	339	139293	173060	195
"1b6oh8538693c9"	"1/30/2020"	"Western Europe"	"1080p"	415317	2384	1195	46	2294	"N"	753	249222	166095	634
"2y7vr7738753s4"	"12/11/2020"	"North America"	"1080p"	296748	2248	1107	32	1588	"N"	1123	161957	134791	920
"0j5io0913835i4"	"6/16/2020"	"Caribbean"	"1080p"	253339	1529	1297	56	2007	"N"	265	145007	108332	212
"3n5qq0409468p3"	"9/29/2020"	"Eastern Asia"	"1080p"	299551	2997	1054	88	1896	"N"	261	211688	87863	221
"3o6ll7163234v0"	"2/8/2020"	"North America"	"1080p"	290615	2344	1201	21	1939	"N"	352	222870	67745	305
"9h0gu8597097p1"	"5/28/2020"	"Southeast Asia"	"720p"	327836	2417	1286	13	1646	"N"	556	191166	136670	285
"1q5uc2790546a5"	"5/20/2020"	"South America"	"1080p"	387048	2377	1235	32	1726	"N"	924	248113	138935	775
"6i3kn1537937w9"	"12/18/2020"	"Western Europe"	"480p"	277048	1524	836	13	1204	"N"	263	178311	98737	52
"8o5ie3489344n8"	"4/13/2020"	"North America"	"1080p"	296988	2379	1320	46	1701	"N"	453	172536	124452	359
"8x9ih7343970u7"	"10/6/2020"	"Central Europe"	"1080p"	325447	1922	1142	2	1697	"N"	364	203640	121807	301
"4h6pt2649781u4"	"9/23/2020"	"Eastern Asia"	"720p"	359529	649	474	23	1447	"Y"	1458	177739	181790	772
"9h0eu5933559j5"	"1/28/2020"	"North America"	"360p"	292109	1146	584	305	1243	"N"	2961	171009	121100	402
"2u2ph5430073a3"	"9/10/2020"	"Middle East"	"1080p"	323637	2469	1281	25	1618	"N"	2017	199646	123991	1685
"6l4rj4404306a0"	"5/28/2020"	"Eastern Asia"	"720p"	167466	2352	1212	158	1522	"N"	5231	97520	69946	2813
"6t4yr8494672s8"	"2/28/2020"	"Central Africa"	"1080p"	359062	2862	1152	89	1658	"N"	1295	218843	140219	1080
"5l2yk3684254w1"	"3/7/2020"	"Western Europe"	"720p"	264079	2592	1199	101	1844	"N"	1430	139460	124619	775
"4e0pj0476232u9"	"12/29/2020"	"Eastern Asia"	"720p"	380967	2193	1277	8	1722	"N"	516	234187	146780	280
"8p7hm9972377k9"	"6/4/2020"	"South America"	"1080p"	328670	2259	1229	87	1827	"N"	294	187381	141289	247
"1x1qk5221665o5"	"2/26/2020"	"Eastern Asia"	"1080p"	298770	2211	1142	28	1689	"N"	370	204548	94222	312
"1d9qy8162804q6"	"6/23/2020"	"South America"	"720p"	351219	2291	1078	68	1755	"N"	369	183596	167623	199
"8n2wk2302676y8"	"6/16/2020"	"Middle East"	"720p"	293472	3054	1330	23	1603	"N"	1378	150631	142841	718
"9c2fx3602923v0"	"5/7/2020"	"Central Europe"	"480p"	402994	1726	689	43	1521	"N"	1304	257796	145198	326
"3u5ld3399118h5"	"3/16/2020"	"South Europe"	"1080p"	299796	2078	1360	75	1732	"N"	485	153490	146306	405
"6l6wx3312853i7"	"11/24/2020"	"Middle East"	"1080p"	282404	1836	1189	44	1812	"N"	830	171638	110766	681
"8l6xc9814755a5"	"8/10/2020"	"South Europe"	"720p"	357317	2205	1093	116	1686	"N"	4663	224747	132570	2509
"3v3wt2061715u1"	"3/22/2020"	"Central Africa"	"720p"	304918	2824	1224	40	1845	"N"	1446	168084	136834	769
"7v2rr7741770s5"	"9/1/2020"	"North America"	"720p"	238584	2060	1140	39	1634	"N"	1988	122635	115949	1046
"0d0hf1994084t2"	"9/14/2020"	"South Europe"	"1080p"	287983	2445	1047	60	1800	"N"	494	174228	113755	416
"1f9uj0090931f0"	"6/17/2020"	"Eastern Asia"	"720p"	363232	1143	469	11	1574	"Y"	1847	228423	134809	979
"8c5an4796599b6"	"11/8/2020"	"Eastern Asia"	"1080p"	352728	2235	1107	11	1786	"N"	871	219365	133363	707
"9k4on6031795b5"	"9/22/2020"	"Middle East"	"1080p"	300903	2189	1163	7	1764	"N"	606	221169	79734	506
"3x2td6410834q2"	"8/6/2020"	"South America"	"1080p"	234320	2501	1071	18	1591	"N"	649	124184	110136	540
"7p7cb4216013l0"	"2/6/2020"	"Western Europe"	"720p"	246876	2516	1097	38	1560	"N"	436	145517	101359	237
"7q0nz9418899f8"	"6/14/2020"	"Eastern Asia"	"1080p"	300354	2663	1272	72	1638	"N"	1033	189474	110880	872
"2d8zx4087481w4"	"12/16/2020"	"Caribbean"	"1080p"	371444	2509	1228	171	1814	"N"	567	212535	158909	481
"9c9ni4205159w1"	"9/28/2020"	"Middle East"	"1080p"	267539	842	450	17	1977	"Y"	508	161674	105865	416
"9x9pv4600361m1"	"6/12/2020"	"Eastern Asia"	"1080p"	349149	2995	1209	8	1765	"N"	295	237342	111807	234
"6i0jm1132442n6"	"12/16/2020"	"Western Africa"	"720p"	262006	2705	1149	91	1735	"N"	176	162071	99935	79
"4f6wf0106583c4"	"12/6/2020"	"South Asia"	"1080p"	271324	2753	1286	14	1792	"N"	518	156883	114441	421
"3p1lg8233005l0"	"1/7/2020"	"Western Europe"	"720p"	377429	2750	979	4	1815	"N"	1233	259150	118279	660
"9c1sq1753472z0"	"11/24/2020"	"Caribbean"	"720p"	288999	2362	1157	16	1181	"N"	716	174805	114194	385
"4e4ib6160790s5"	"11/7/2020"	"Eastern Asia"	"1080p"	412910	1321	590	21	1856	"Y"	1761	292699	120211	1447
"9u4yp7295877v2"	"12/29/2020"	"Western Africa"	"360p"	308784	1279	582	10	1203	"N"	507	195357	113427	57
"3n1yg0526551i8"	"8/19/2020"	"North America"	"1080p"	302990	2617	1118	37	1763	"N"	1000	187007	115983	839
